,type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,departure.gate,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.terminal,arrival.gate,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,arrival.delay
10,arrival,scheduled,nbo,hkjk,2023-09-20t10:00:00.000,llw,fwki,2023-09-20t12:00:00.000,astral aviation,8v,acp,45,8v45,acp45,,,,,,,,,,,,,,,,,,,,
11,arrival,active,add,haab,2023-09-20t09:50:00.000,llw,fwki,2023-09-20t12:50:00.000,united airlines,ua,ual,7205,ua7205,ual7205,2,c4,29.0,2023-09-20t10:18:00.000,2023-09-20t10:18:00.000,2023-09-20t10:18:00.000,1,1,2023-09-20t12:29:00.000,,,,ethiopian airlines,et,eth,877,et877,eth877,2023-09-20t09:53:00.000,
12,arrival,active,add,haab,2023-09-20t09:50:00.000,llw,fwki,2023-09-20t12:50:00.000,ethiopian airlines,et,eth,877,et877,eth877,2,c4,29.0,2023-09-20t10:18:00.000,2023-09-20t10:18:00.000,2023-09-20t10:18:00.000,1,1,2023-09-20t12:29:00.000,,,,,,,,,,2023-09-20t09:53:00.000,
13,arrival,scheduled,nbo,hkjk,2023-09-20t11:30:00.000,llw,fwki,2023-09-20t13:00:00.000,kenya airways,kq,kqa,2748,kq2748,kqa2748,,,,,,,,,,,,,,,,,,,,
14,arrival,unknown,jnb,faor,2023-09-20t11:00:00.000,llw,fwki,2023-09-20t13:20:00.000,south african airlink,4z,lnk,460,4z460,lnk460,b,b86,15.0,2023-09-20t11:14:00.000,2023-09-20t11:14:00.000,2023-09-20t11:14:00.000,,,2023-09-20t13:22:00.000,,,,,,,,,,2023-09-20t11:00:00.000,3.0
15,arrival,active,nbo,hkjk,2023-09-20t12:20:00.000,llw,fwki,2023-09-20t13:35:00.000,air france,af,afr,3106,af3106,afr3106,1a,,15.0,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,,,2023-09-20t13:41:00.000,,,,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-20t12:35:00.000,7.0
16,arrival,active,nbo,hkjk,2023-09-20t12:20:00.000,llw,fwki,2023-09-20t13:35:00.000,klm,kl,klm,4139,kl4139,klm4139,1a,,15.0,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,,,2023-09-20t13:41:00.000,,,,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-20t12:35:00.000,7.0
17,arrival,active,nbo,hkjk,2023-09-20t12:20:00.000,llw,fwki,2023-09-20t13:35:00.000,titan airways malta,tm,tmt,756,tm756,tmt756,1a,,15.0,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,,,2023-09-20t13:41:00.000,,,,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-20t12:35:00.000,7.0
18,arrival,active,nbo,hkjk,2023-09-20t12:20:00.000,llw,fwki,2023-09-20t13:35:00.000,delta air lines,dl,dal,7565,dl7565,dal7565,1a,,15.0,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,,,2023-09-20t13:41:00.000,,,,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-20t12:35:00.000,7.0
19,arrival,active,nbo,hkjk,2023-09-20t12:20:00.000,llw,fwki,2023-09-20t13:35:00.000,kenya airways,kq,kqa,756,kq756,kqa756,1a,,15.0,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,2023-09-20t12:35:00.000,,,2023-09-20t13:41:00.000,,,,,,,,,,2023-09-20t12:35:00.000,7.0
20,arrival,scheduled,hre,fvrg,2023-09-20t13:50:00.000,llw,fwki,2023-09-20t15:00:00.000,ethiopian airlines,et,eth,34,et34,eth34,1,8,,,,,,,,,,,,,,,,,,
21,arrival,landed,blz,fwcl,2023-09-20t15:05:00.000,llw,fwki,2023-09-20t15:45:00.000,malawian airlines,3w,mwi,21,3w21,mwi21,,,,2023-09-20t14:59:00.000,2023-09-20t14:59:00.000,2023-09-20t14:59:00.000,,,,2023-09-20t15:31:00.000,2023-09-20t15:31:00.000,2023-09-20t15:31:00.000,,,,,,,,
22,arrival,scheduled,blz,fwcl,2023-09-20t15:45:00.000,llw,fwki,2023-09-20t16:45:00.000,empty,,,101,,,,,,,,,,,,,,,,,,,,,,
23,arrival,scheduled,zzu,fwuu,2023-09-20t15:45:00.000,llw,fwki,2023-09-20t16:45:00.000,empty,,,703,,,,,,,,,,,,,,,,,,,,,,
24,arrival,scheduled,cmk,fwcm,2023-09-20t16:15:00.000,llw,fwki,2023-09-20t17:00:00.000,empty,,,203,,,,,,,,,,,,,,,,,,,,,,
25,arrival,scheduled,lix,fwlk,2023-09-20t16:00:00.000,llw,fwki,2023-09-20t17:00:00.000,empty,,,303,,,,,,,,,,,,,,,,,,,,,,
26,arrival,scheduled,mfu,flmf,2023-09-20t16:00:00.000,llw,fwki,2023-09-20t17:00:00.000,empty,,,503,,,,,,,,,,,,,,,,,,,,,,
27,arrival,scheduled,ceh,fwcd,2023-09-20t15:45:00.000,llw,fwki,2023-09-20t17:15:00.000,empty,,,202,,,,,,,,,,,,,,,,,,,,,,
28,arrival,scheduled,nbo,hkjk,2023-09-21t06:15:00.000,llw,fwki,2023-09-21t07:30:00.000,malawian airlines,3w,mwi,51,3w51,mwi51,1c,13,42.0,2023-09-21t06:57:00.000,2023-09-21t06:57:00.000,2023-09-21t06:57:00.000,,,2023-09-21t07:50:00.000,,,,,,,,,,,21.0
29,arrival,unknown,blz,fwcl,2023-09-21t09:10:00.000,llw,fwki,2023-09-21t09:40:00.000,ethiopian airlines,et,eth,43,et43,eth43,,,,,,,,,,,,,,,,,,,,
30,arrival,landed,add,haab,2023-09-21t09:50:00.000,llw,fwki,2023-09-21t12:50:00.000,united airlines,ua,ual,7205,ua7205,ual7205,2,a14,27.0,2023-09-21t10:16:00.000,2023-09-21t10:16:00.000,2023-09-21t10:16:00.000,1,1,2023-09-21t12:25:00.000,2023-09-21t12:25:00.000,2023-09-21t12:25:00.000,2023-09-21t12:25:00.000,ethiopian airlines,et,eth,877,et877,eth877,,
31,arrival,landed,add,haab,2023-09-21t09:50:00.000,llw,fwki,2023-09-21t12:50:00.000,ethiopian airlines,et,eth,877,et877,eth877,2,a14,27.0,2023-09-21t10:16:00.000,2023-09-21t10:16:00.000,2023-09-21t10:16:00.000,1,1,2023-09-21t12:25:00.000,2023-09-21t12:25:00.000,2023-09-21t12:25:00.000,2023-09-21t12:25:00.000,,,,,,,,
32,arrival,scheduled,mfu,flmf,2023-09-21t12:20:00.000,llw,fwki,2023-09-21t12:55:00.000,proflight zambia,p0,pfz,834,p0834,pfz834,,,,,,,,,,,,,,,,,,,,
33,arrival,landed,nbo,hkjk,2023-09-21t12:20:00.000,llw,fwki,2023-09-21t13:35:00.000,air france,af,afr,3106,af3106,afr3106,1a,,14.0,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,,,2023-09-21t13:33:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-21t12:20:00.000,
34,arrival,landed,nbo,hkjk,2023-09-21t12:20:00.000,llw,fwki,2023-09-21t13:35:00.000,klm,kl,klm,4139,kl4139,klm4139,1a,,14.0,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,,,2023-09-21t13:33:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-21t12:20:00.000,
35,arrival,landed,nbo,hkjk,2023-09-21t12:20:00.000,llw,fwki,2023-09-21t13:35:00.000,titan airways malta,tm,tmt,756,tm756,tmt756,1a,,14.0,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,,,2023-09-21t13:33:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-21t12:20:00.000,
36,arrival,landed,nbo,hkjk,2023-09-21t12:20:00.000,llw,fwki,2023-09-21t13:35:00.000,delta air lines,dl,dal,7565,dl7565,dal7565,1a,,14.0,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,,,2023-09-21t13:33:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-21t12:20:00.000,
37,arrival,landed,nbo,hkjk,2023-09-21t12:20:00.000,llw,fwki,2023-09-21t13:35:00.000,kenya airways,kq,kqa,756,kq756,kqa756,1a,,14.0,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,2023-09-21t12:33:00.000,,,2023-09-21t13:33:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,2023-09-21t13:29:00.000,,,,,,,2023-09-21t12:20:00.000,
38,arrival,landed,blz,fwcl,2023-09-21t13:20:00.000,llw,fwki,2023-09-21t14:10:00.000,south african airways,sa,saa,172,sa172,saa172,,,,2023-09-21t13:06:00.000,2023-09-21t13:06:00.000,2023-09-21t13:06:00.000,,,,2023-09-21t13:38:00.000,2023-09-21t13:38:00.000,2023-09-21t13:38:00.000,,,,,,,2023-09-21t13:20:00.000,
39,arrival,scheduled,lun,flkk,2023-09-21t13:45:00.000,llw,fwki,2023-09-21t15:00:00.000,ethiopian airlines,et,eth,35,et35,eth35,2,a8,,,,,,,,,,,,,,,,,,
40,arrival,scheduled,blz,fwcl,2023-09-21t15:05:00.000,llw,fwki,2023-09-21t15:45:00.000,malawian airlines,3w,mwi,21,3w21,mwi21,,,,,,,,,,,,,,,,,,,,
41,arrival,cancelled,add,haab,2023-09-21t22:10:00.000,llw,fwki,2023-09-22t01:10:00.000,ethiopian airlines,et,eth,867,et867,eth867,2,c3,,,,,,,,,,,,,,,,,,
42,arrival,scheduled,nbo,hkjk,2023-09-22t07:00:00.000,llw,fwki,2023-09-22t08:30:00.000,kenya airways,kq,kqa,2730,kq2730,kqa2730,,,,,,,,,,,,,,,,,,,,
43,arrival,scheduled,blz,fwcl,2023-09-22t09:10:00.000,llw,fwki,2023-09-22t09:40:00.000,ethiopian airlines,et,eth,43,et43,eth43,,,,,,,,,,,,,,,,,,,,
44,arrival,landed,dwc,omdw,2023-09-22t07:30:00.000,llw,fwki,2023-09-22t11:50:00.000,emirates,ek,uae,9747,ek9747,uae9747,,,18.0,2023-09-22t07:47:00.000,2023-09-22t07:47:00.000,2023-09-22t07:47:00.000,,,2023-09-22t11:43:00.000,2023-09-22t11:44:00.000,2023-09-22t11:44:00.000,2023-09-22t11:44:00.000,,,,,,,2023-09-22t07:48:00.000,
45,arrival,landed,add,haab,2023-09-22t09:50:00.000,llw,fwki,2023-09-22t12:50:00.000,united airlines,ua,ual,7205,ua7205,ual7205,2,c9,35.0,2023-09-22t10:25:00.000,2023-09-22t10:25:00.000,2023-09-22t10:25:00.000,1,1,2023-09-22t12:47:00.000,2023-09-22t12:48:00.000,2023-09-22t12:48:00.000,2023-09-22t12:48:00.000,ethiopian airlines,et,eth,877,et877,eth877,,
46,arrival,landed,add,haab,2023-09-22t09:50:00.000,llw,fwki,2023-09-22t12:50:00.000,ethiopian airlines,et,eth,877,et877,eth877,2,c9,35.0,2023-09-22t10:25:00.000,2023-09-22t10:25:00.000,2023-09-22t10:25:00.000,1,1,2023-09-22t12:47:00.000,2023-09-22t12:48:00.000,2023-09-22t12:48:00.000,2023-09-22t12:48:00.000,,,,,,,,
47,arrival,active,jnb,faor,2023-09-22t11:00:00.000,llw,fwki,2023-09-22t13:20:00.000,south african airlink,4z,lnk,460,4z460,lnk460,b,b86,25.0,2023-09-22t11:24:00.000,2023-09-22t11:24:00.000,2023-09-22t11:24:00.000,,,2023-09-22t13:26:00.000,,,,,,,,,,2023-09-22t10:55:00.000,7.0
48,arrival,landed,nbo,hkjk,2023-09-22t12:20:00.000,llw,fwki,2023-09-22t13:35:00.000,air france,af,afr,3106,af3106,afr3106,1a,,2.0,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,,,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-22t12:20:00.000,
49,arrival,landed,nbo,hkjk,2023-09-22t12:20:00.000,llw,fwki,2023-09-22t13:35:00.000,klm,kl,klm,4139,kl4139,klm4139,1a,,2.0,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,,,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-22t12:20:00.000,
50,arrival,landed,nbo,hkjk,2023-09-22t12:20:00.000,llw,fwki,2023-09-22t13:35:00.000,titan airways malta,tm,tmt,756,tm756,tmt756,1a,,2.0,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,,,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-22t12:20:00.000,
51,arrival,landed,nbo,hkjk,2023-09-22t12:20:00.000,llw,fwki,2023-09-22t13:35:00.000,delta air lines,dl,dal,7565,dl7565,dal7565,1a,,2.0,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,,,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-22t12:20:00.000,
52,arrival,landed,nbo,hkjk,2023-09-22t12:20:00.000,llw,fwki,2023-09-22t13:35:00.000,kenya airways,kq,kqa,756,kq756,kqa756,1a,,2.0,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,2023-09-22t12:22:00.000,,,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,2023-09-22t13:22:00.000,,,,,,,2023-09-22t12:20:00.000,
53,arrival,scheduled,dxb,omdb,2023-09-22t09:30:00.000,llw,fwki,2023-09-22t13:50:00.000,empty,,,9318,,,,,,,,,,,,,,,,,,,,,,
54,arrival,scheduled,hre,fvrg,2023-09-22t13:50:00.000,llw,fwki,2023-09-22t15:00:00.000,ethiopian airlines,et,eth,34,et34,eth34,1,8,,,,,,,,,,,,,,,,,,
55,arrival,unknown,blz,fwcl,2023-09-22t15:05:00.000,llw,fwki,2023-09-22t15:45:00.000,ethiopian airlines,et,eth,21,et21,eth21,,,,,,,,,,,,,,,,,,,,
56,arrival,scheduled,zzu,fwuu,2023-09-22t15:45:00.000,llw,fwki,2023-09-22t16:45:00.000,empty,,,703,,,,,,,,,,,,,,,,,,,,,,
57,arrival,scheduled,blz,fwcl,2023-09-22t15:45:00.000,llw,fwki,2023-09-22t16:45:00.000,empty,,,101,,,,,,,,,,,,,,,,,,,,,,
58,arrival,scheduled,cmk,fwcm,2023-09-22t16:15:00.000,llw,fwki,2023-09-22t17:00:00.000,empty,,,203,,,,,,,,,,,,,,,,,,,,,,
59,arrival,scheduled,lix,fwlk,2023-09-22t16:00:00.000,llw,fwki,2023-09-22t17:00:00.000,empty,,,303,,,,,,,,,,,,,,,,,,,,,,
60,arrival,scheduled,mfu,flmf,2023-09-22t16:00:00.000,llw,fwki,2023-09-22t17:00:00.000,empty,,,503,,,,,,,,,,,,,,,,,,,,,,
61,arrival,scheduled,ceh,fwcd,2023-09-22t15:45:00.000,llw,fwki,2023-09-22t17:15:00.000,empty,,,202,,,,,,,,,,,,,,,,,,,,,,
62,arrival,scheduled,nbo,hkjk,2023-09-23t06:15:00.000,llw,fwki,2023-09-23t07:30:00.000,ethiopian airlines,et,eth,51,et51,eth51,1c,13,,,,,,,,,,,,,,,,,2023-09-23t05:45:00.000,
63,arrival,unknown,blz,fwcl,2023-09-23t09:10:00.000,llw,fwki,2023-09-23t09:40:00.000,ethiopian airlines,et,eth,43,et43,eth43,,,,,,,,,,,,,,,,,,,,
64,arrival,landed,add,haab,2023-09-23t09:50:00.000,llw,fwki,2023-09-23t12:50:00.000,united airlines,ua,ual,7205,ua7205,ual7205,2,c11,32.0,2023-09-23t10:21:00.000,2023-09-23t10:21:00.000,2023-09-23t10:21:00.000,1,1,2023-09-23t12:36:00.000,2023-09-23t12:36:00.000,2023-09-23t12:36:00.000,2023-09-23t12:36:00.000,ethiopian airlines,et,eth,877,et877,eth877,,
65,arrival,landed,add,haab,2023-09-23t09:50:00.000,llw,fwki,2023-09-23t12:50:00.000,ethiopian airlines,et,eth,877,et877,eth877,2,c11,32.0,2023-09-23t10:21:00.000,2023-09-23t10:21:00.000,2023-09-23t10:21:00.000,1,1,2023-09-23t12:36:00.000,2023-09-23t12:36:00.000,2023-09-23t12:36:00.000,2023-09-23t12:36:00.000,,,,,,,,
66,arrival,landed,nbo,hkjk,2023-09-23t12:20:00.000,llw,fwki,2023-09-23t13:35:00.000,air france,af,afr,3106,af3106,afr3106,1a,,37.0,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,,,2023-09-23t13:58:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-23t12:20:00.000,24.0
67,arrival,landed,nbo,hkjk,2023-09-23t12:20:00.000,llw,fwki,2023-09-23t13:35:00.000,klm,kl,klm,4139,kl4139,klm4139,1a,,37.0,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,,,2023-09-23t13:58:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-23t12:20:00.000,24.0
68,arrival,landed,nbo,hkjk,2023-09-23t12:20:00.000,llw,fwki,2023-09-23t13:35:00.000,titan airways malta,tm,tmt,756,tm756,tmt756,1a,,37.0,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,,,2023-09-23t13:58:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-23t12:20:00.000,24.0
69,arrival,landed,nbo,hkjk,2023-09-23t12:20:00.000,llw,fwki,2023-09-23t13:35:00.000,delta air lines,dl,dal,7565,dl7565,dal7565,1a,,37.0,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,,,2023-09-23t13:58:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-23t12:20:00.000,24.0
70,arrival,landed,nbo,hkjk,2023-09-23t12:20:00.000,llw,fwki,2023-09-23t13:35:00.000,kenya airways,kq,kqa,756,kq756,kqa756,1a,,37.0,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,2023-09-23t12:57:00.000,,,2023-09-23t13:58:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,2023-09-23t13:59:00.000,,,,,,,2023-09-23t12:20:00.000,24.0
71,arrival,landed,blz,fwcl,2023-09-23t13:20:00.000,llw,fwki,2023-09-23t14:10:00.000,south african airways,sa,saa,172,sa172,saa172,,,,2023-09-23t13:16:00.000,2023-09-23t13:16:00.000,2023-09-23t13:16:00.000,,,,2023-09-23t13:52:00.000,2023-09-23t13:52:00.000,2023-09-23t13:52:00.000,,,,,,,2023-09-23t13:20:00.000,
72,arrival,unknown,lun,flkk,2023-09-23t13:45:00.000,llw,fwki,2023-09-23t15:00:00.000,ethiopian airlines,et,eth,35,et35,eth35,2,a8,,,,,,,,,,,,,,,,,,
73,arrival,scheduled,blz,fwcl,2023-09-23t15:05:00.000,llw,fwki,2023-09-23t15:45:00.000,ethiopian airlines,et,eth,21,et21,eth21,,,,,,,,,,,,,,,,,,,,
74,arrival,landed,nbo,hkjk,2023-09-23t23:50:00.000,llw,fwki,2023-09-24t01:20:00.000,kenya airways,kq,kqa,738,kq738,kqa738,1a,,12.0,2023-09-24t00:01:00.000,2023-09-24t00:01:00.000,2023-09-24t00:01:00.000,,,2023-09-24t01:05:00.000,2023-09-24t01:02:00.000,2023-09-24t01:02:00.000,2023-09-24t01:02:00.000,,,,,,,2023-09-23t23:44:00.000,
75,arrival,landed,nbo,hkjk,2023-09-24t06:15:00.000,llw,fwki,2023-09-24t07:30:00.000,malawian airlines,3w,mwi,51,3w51,mwi51,1c,13,8.0,2023-09-24t06:23:00.000,2023-09-24t06:23:00.000,2023-09-24t06:23:00.000,,,2023-09-24t07:20:00.000,2023-09-24t07:20:00.000,2023-09-24t07:20:00.000,2023-09-24t07:20:00.000,,,,,,,,
76,arrival,unknown,blz,fwcl,2023-09-24t09:10:00.000,llw,fwki,2023-09-24t09:40:00.000,ethiopian airlines,et,eth,43,et43,eth43,,,,,,,,,,,,,,,,,,,,
77,arrival,landed,add,haab,2023-09-24t09:50:00.000,llw,fwki,2023-09-24t12:50:00.000,united airlines,ua,ual,7205,ua7205,ual7205,2,c7,29.0,2023-09-24t10:18:00.000,2023-09-24t10:18:00.000,2023-09-24t10:18:00.000,1,1,2023-09-24t12:39:00.000,2023-09-24t12:35:00.000,2023-09-24t12:35:00.000,2023-09-24t12:35:00.000,ethiopian airlines,et,eth,877,et877,eth877,,
78,arrival,landed,add,haab,2023-09-24t09:50:00.000,llw,fwki,2023-09-24t12:50:00.000,ethiopian airlines,et,eth,877,et877,eth877,2,c7,29.0,2023-09-24t10:18:00.000,2023-09-24t10:18:00.000,2023-09-24t10:18:00.000,1,1,2023-09-24t12:39:00.000,2023-09-24t12:35:00.000,2023-09-24t12:35:00.000,2023-09-24t12:35:00.000,,,,,,,,
79,arrival,unknown,mfu,flmf,2023-09-24t12:20:00.000,llw,fwki,2023-09-24t12:55:00.000,proflight zambia,p0,pfz,834,p0834,pfz834,,,,,,,,,,,,,,,,,,,,
80,arrival,unknown,nbo,hkjk,2023-09-24t12:20:00.000,llw,fwki,2023-09-24t13:35:00.000,air france,af,afr,3106,af3106,afr3106,1a,,18.0,2023-09-24t12:38:00.000,2023-09-24t12:38:00.000,2023-09-24t12:38:00.000,,,2023-09-24t13:37:00.000,,,,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-24t12:20:00.000,3.0
81,arrival,unknown,nbo,hkjk,2023-09-24t12:20:00.000,llw,fwki,2023-09-24t13:35:00.000,klm,kl,klm,4139,kl4139,klm4139,1a,,18.0,2023-09-24t12:38:00.000,2023-09-24t12:38:00.000,2023-09-24t12:38:00.000,,,2023-09-24t13:37:00.000,,,,kenya airways,kq,kqa,756,kq756,kqa756,2023-09-24t12:20:00.000,3.0
